online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
1,1,4.1,775,1,15,564,800.0,518
1,0,4.1,787,1,15,257,800.0,518
1,0,3.8,918,1,12,222,800.0,518
0,0,3.7,88,1,43,661,300.0,518
0,0,3.8,166,3,15,574,600.0,518
1,0,3.8,286,3,15,468,600.0,518
1,1,4.6,2556,1,17,605,600.0,518
1,0,4.0,324,1,10,210,700.0,518
1,0,4.2,504,1,10,223,550.0,518
1,0,4.1,402,1,10,146,500.0,518
1,1,4.2,150,1,10,210,600.0,518
1,1,4.2,164,1,10,170,500.0,518
0,0,4.0,424,1,10,171,450.0,518
1,0,3.8,918,1,12,222,800.0,518
1,0,3.8,90,1,10,146,650.0,518
1,0,3.9,133,1,10,197,800.0,518
1,0,3.8,144,1,10,236,700.0,518
0,0,3.9,93,1,10,205,300.0,518
1,0,3.0,62,1,10,199,400.0,518
1,0,3.7,180,1,10,225,500.0,518
1,0,3.6,62,1,46,404,600.0,518
0,0,3.8,148,3,17,482,550.0,518
1,0,4.0,219,3,10,204,600.0,518
1,0,2.8,506,1,43,544,500.0,518
1,0,3.9,172,1,22,604,750.0,518
1,0,4.2,415,1,43,481,500.0,172
1,0,3.9,230,1,22,96,650.0,518
1,0,4.2,1647,1,15,265,600.0,518
1,0,4.4,4884,18,15,572,750.0,518
1,0,3.8,133,3,43,677,200.0,518
1,0,3.9,286,1,43,139,500.0,518
1,0,3.9,540,1,43,608,800.0,518
1,1,4.6,2556,1,17,605,600.0,518
0,0,3.8,36,1,22,538,400.0,518
1,0,3.6,244,24,43,484,300.0,24
1,0,4.0,804,24,15,494,450.0,484
1,0,3.7,679,34,15,262,850.0,518
1,0,3.1,245,24,43,515,300.0,479
0,0,4.3,345,1,23,387,400.0,518
1,0,4.0,618,18,15,121,750.0,518
0,0,4.0,1047,1,43,400,450.0,518
1,0,3.9,627,1,22,375,450.0,2
1,1,4.2,354,1,15,57,800.0,518
0,0,4.2,244,1,15,409,800.0,518
1,1,3.6,163,24,15,371,800.0,518
0,1,4.0,808,1,15,484,850.0,518
1,0,4.1,1720,3,43,553,400.0,518
0,0,4.1,868,1,38,299,1200.0,518
0,0,4.1,520,1,43,103,300.0,518
0,0,3.6,299,1,43,358,300.0,518
0,0,3.8,39,1,43,650,350.0,518
1,0,4.2,146,1,6,89,400.0,518
1,0,4.4,4401,18,15,120,600.0,518
0,0,2.6,283,1,15,468,600.0,518
0,0,3.3,62,1,4,662,800.0,518
0,0,3.7,65,1,43,360,300.0,518
1,0,3.8,71,3,23,390,400.0,518
0,0,3.5,52,1,43,642,300.0,518
0,0,3.7,130,1,43,642,200.0,518
0,0,3.8,45,1,52,68,400.0,518
1,0,4.1,201,1,43,666,300.0,353
1,0,4.0,771,1,15,662,450.0,466
0,0,3.0,98,1,4,484,800.0,518
1,1,4.1,175,18,15,663,500.0,267
1,0,3.8,540,3,15,552,650.0,518
1,0,3.8,124,24,43,252,400.0,518
1,0,4.1,340,1,52,566,500.0,518
1,0,3.8,505,1,43,139,450.0,518
1,0,4.1,438,18,23,325,500.0,518
1,0,3.7,264,30,15,490,750.0,518
1,0,3.7,97,18,43,564,350.0,518
1,0,3.6,195,18,15,260,800.0,518
1,0,4.6,228,18,10,159,400.0,518
1,1,4.1,364,18,15,689,1200.0,518
1,0,3.2,167,24,43,665,300.0,423
1,0,4.2,64,3,43,627,500.0,518
1,0,3.0,290,1,43,492,450.0,518
1,0,4.1,233,3,43,676,200.0,518
1,0,3.8,115,24,43,355,250.0,518
1,1,3.9,291,18,10,164,650.0,280
1,0,4.5,155,18,6,92,300.0,518
1,0,4.1,305,24,15,393,700.0,518
1,0,3.9,441,1,43,664,400.0,518
1,0,4.3,630,18,43,598,200.0,518
1,0,3.9,160,24,43,36,300.0,518
1,0,4.2,287,1,43,468,350.0,518
1,0,4.1,402,1,10,146,500.0,518
1,0,3.8,469,3,15,487,750.0,518
1,0,3.3,511,24,15,62,550.0,518
1,0,3.9,264,1,43,642,200.0,518
1,0,3.0,62,1,10,199,400.0,518
1,0,3.8,693,1,15,608,750.0,518
1,0,3.8,242,18,15,442,650.0,518
1,0,4.1,163,3,43,289,500.0,518
1,0,4.2,191,3,43,677,250.0,398
1,0,2.5,247,1,15,468,500.0,518
1,1,4.1,2339,18,15,486,1500.0,518
1,0,4.1,337,18,43,240,300.0,518
1,0,3.9,135,1,15,497,800.0,518
1,0,3.6,172,43,15,484,700.0,518
1,0,3.6,105,1,15,692,700.0,518
1,0,4.2,504,1,10,223,550.0,518
1,1,4.3,1129,18,15,414,1300.0,518
1,0,4.3,860,1,23,323,500.0,518
1,0,3.8,412,18,15,31,700.0,518
1,1,3.9,142,18,15,445,1000.0,518
1,0,3.6,143,18,15,646,750.0,518
1,0,4.4,181,18,6,94,250.0,518
1,0,3.8,70,18,43,596,200.0,518
1,0,3.8,164,3,43,610,600.0,518
1,0,3.6,58,24,43,163,650.0,518
0,0,3.8,148,3,17,482,550.0,518
0,0,3.9,206,3,43,660,450.0,518
0,0,3.7,217,3,15,526,450.0,518
1,0,2.9,177,18,15,489,700.0,518
1,0,3.7,136,1,43,625,600.0,518
1,0,4.1,185,18,43,419,200.0,518
1,0,3.8,155,30,15,666,400.0,518
1,0,3.8,42,1,43,662,300.0,296
1,0,3.8,286,3,15,468,600.0,518
1,0,3.8,160,1,15,484,700.0,518
1,0,3.8,59,1,15,484,750.0,518
1,0,4.0,89,18,43,644,200.0,518
1,0,3.9,40,3,15,525,600.0,518
1,0,2.5,35,3,43,336,200.0,518
1,0,3.6,62,1,46,404,600.0,518
1,0,4.1,139,18,15,523,550.0,518
1,0,3.7,237,1,43,654,200.0,325
1,0,3.9,388,1,15,127,650.0,518
1,0,3.9,128,24,15,652,500.0,14
1,1,4.1,1875,18,15,470,1200.0,518
1,0,3.8,90,1,10,146,650.0,518
1,0,4.2,179,1,22,604,600.0,518
1,0,3.7,323,18,15,265,850.0,518
1,0,4.3,322,18,15,642,400.0,518
1,0,2.6,157,18,10,154,450.0,518
1,0,3.9,543,3,43,654,300.0,270
1,0,3.7,180,1,10,225,500.0,518
1,0,3.9,134,18,43,682,400.0,424
1,0,3.8,577,18,15,580,900.0,518
1,0,3.9,144,18,15,519,550.0,518
1,0,4.1,787,1,15,257,800.0,518
1,0,3.6,84,1,43,662,250.0,16
1,1,4.0,349,1,15,629,1200.0,518
1,0,3.7,248,24,43,542,400.0,518
1,0,4.1,216,3,10,176,500.0,518
1,0,4.0,324,1,10,210,700.0,518
1,0,2.6,231,24,43,520,400.0,450
1,0,3.4,102,43,15,663,400.0,85
1,0,3.9,133,1,10,197,800.0,518
1,0,2.8,45,1,15,615,800.0,518
1,0,3.8,75,1,43,344,200.0,518
1,0,4.0,53,34,22,453,600.0,518
1,1,4.2,815,18,15,484,900.0,518
1,1,4.0,633,1,15,484,800.0,518
1,0,3.5,56,18,23,389,400.0,518
1,0,3.9,70,1,23,347,400.0,518
1,0,3.9,91,18,10,196,300.0,518
1,0,3.8,77,24,10,179,650.0,518
1,0,3.8,210,24,15,506,600.0,518
1,0,4.1,130,18,10,217,650.0,518
1,0,3.8,144,1,10,236,700.0,518
1,0,3.7,133,18,15,263,700.0,518
1,0,4.0,136,18,43,654,350.0,173
1,0,3.8,74,3,43,662,300.0,518
1,0,3.7,54,3,10,159,600.0,518
1,0,3.4,58,3,10,193,400.0,518
1,0,3.6,129,1,15,444,600.0,518
1,0,3.5,41,40,29,609,400.0,518
1,0,4.1,176,3,15,28,800.0,518
1,0,3.7,47,18,47,346,400.0,518
1,1,3.7,36,18,15,254,650.0,518
1,1,4.1,442,18,41,293,1200.0,518
1,0,3.8,53,18,43,385,250.0,518
1,0,4.0,232,18,43,649,400.0,518
1,0,3.9,221,18,15,233,700.0,518
1,1,4.1,1063,18,16,405,1200.0,518
1,0,3.7,93,3,43,676,200.0,518
1,0,3.9,233,18,15,412,800.0,518
1,0,3.9,211,18,15,345,500.0,518
1,0,4.0,1778,18,43,592,200.0,7
1,0,3.6,218,45,15,523,800.0,518
